replicate,generation,date,fish_id,photo_number,unique_id,file,manual_landmarks,facing_direction,car_perc,mel_perc,photo_method,mel_perc_v2
replicate_2,gen_3,20211122,m2-468,IMG_3706.JPG,20211122_IMG_3706,photos/replicate_2/gen_3/color_corrected/20211122-IMG_3706.JPG,FALSE,l,6.10651603792617,3.13294331248739,2,3.13294331248739
replicate_2,gen_3,20211122,m2-467,IMG_3696.JPG,20211122_IMG_3696,photos/replicate_2/gen_3/color_corrected/20211122-IMG_3696.JPG,FALSE,l,4.89296636085627,2.41777895538701,2,2.41777895538701
replicate_2,gen_3,20211123,m2-475,IMG_3782.JPG,20211123_IMG_3782,photos/replicate_2/gen_3/color_corrected/20211123-IMG_3782.JPG,FALSE,r,7.0552586859939,1.76074360706754,2,1.76074360706754
replicate_2,gen_3,20211122,m2-467,IMG_3699.JPG,20211122_IMG_3699,photos/replicate_2/gen_3/color_corrected/20211122-IMG_3699.JPG,FALSE,r,4.67278435160589,2.18948724140707,2,2.16533848506802
replicate_2,gen_3,20211122,m2-469,IMG_3710.JPG,20211122_IMG_3710,photos/replicate_2/gen_3/color_corrected/20211122-IMG_3710.JPG,FALSE,l,8.9377065953093,2.1151424523847,2,1.92232016370219
replicate_2,gen_3,20211122,m2-470,IMG_3727.JPG,20211122_IMG_3727,photos/replicate_2/gen_3/color_corrected/20211122-IMG_3727.JPG,FALSE,l,7.9425026415726,1.50438867209976,2,1.50438867209976
replicate_2,gen_3,20211123,m2-476,IMG_3791.JPG,20211123_IMG_3791,photos/replicate_2/gen_3/color_corrected/20211123-IMG_3791.JPG,FALSE,r,5.25953649357284,2.12258003982444,2,2.28208630018453
replicate_2,gen_3,20211122,m2-468,IMG_3701.JPG,20211122_IMG_3701,photos/replicate_2/gen_3/color_corrected/20211122-IMG_3701.JPG,FALSE,l,5.99577010738999,2.89521775733558,2,2.89521775733558
replicate_2,gen_3,20211122,m2-468,IMG_3708.JPG,20211122_IMG_3708,photos/replicate_2/gen_3/color_corrected/20211122-IMG_3708.JPG,FALSE,r,6.3101670703683,3.04535950148024,2,3.04535950148024
replicate_2,gen_3,20211122,m2-466,IMG_3684.JPG,20211122_IMG_3684,photos/replicate_2/gen_3/color_corrected/20211122-IMG_3684.JPG,FALSE,l,8.92554400941421,1.87187107325927,2,1.87187107325927
replicate_2,gen_3,20211122,m2-469,IMG_3715.JPG,20211122_IMG_3715,photos/replicate_2/gen_3/color_corrected/20211122-IMG_3715.JPG,FALSE,r,9.57703371526534,2.57053473708679,2,2.57634604395285
replicate_2,gen_3,20211123,m2-475,IMG_3786.JPG,20211123_IMG_3786,photos/replicate_2/gen_3/color_corrected/20211123-IMG_3786.JPG,FALSE,l,6.06139034111497,2.52497541280605,2,2.52497541280605
replicate_2,gen_3,20211122,m2-470,IMG_3733.JPG,20211122_IMG_3733,photos/replicate_2/gen_3/color_corrected/20211122-IMG_3733.JPG,FALSE,r,7.38371201332136,1.80210775399312,2,1.6826975745492
replicate_2,gen_3,20211122,m2-469,IMG_3714.JPG,20211122_IMG_3714,photos/replicate_2/gen_3/color_corrected/20211122-IMG_3714.JPG,FALSE,l,9.32752155255731,1.72323810260177,2,1.6990760428345
